Tentang	O
Zakat	O
Zakat	O
adalah	O
harta	O
tertentu	O
yang	O
dikeluarkan	O
apabila	O
telah	O
mencapai	O
syarat	O
yang	O
diatur	O
sesuai	O
aturan	O
agama	O
,	O
dikeluarkan	O
kepada	O
8	O
asnaf	O
penerima	O
zakat	O
.	O
Menurut	O
Bahasa	O
kata	O
``	O
zakat	O
''	O
berarti	O
tumbuh	O
,	O
berkembang	O
,	O
subur	O
atau	O
bertambah	O
.	O
Zakat	O
berasal	O
dari	O
bentuk	O
kata	O
``	O
zaka	O
''	O
yang	O
berarti	O
suci	O
,	O
baik	O
,	O
berkah	O
,	O
tumbuh	O
,	O
dan	O
berkembang	O
.	O
Dinamakan	O
zakat	O
,	O
karena	O
di	O
dalamnya	O
terkandung	O
harapan	O
untuk	O
beroleh	O
berkah	O
,	O
membersihkan	O
jiwa	O
dan	O
memupuknya	O
dengan	O
berbagai	O
kebaikan	O
(	O
Fikih	O
Sunnah	O
,	O
Sayyid	B-PER
Sabiq	I-PER
:	O
5	O
)	O
.	O
Makna	O
tumbuh	O
dalam	O
arti	O
zakat	O
menunjukkan	O
bahwa	O
mengeluarkan	O
zakat	O
sebagai	O
sebab	O
adanya	O
pertumbuhan	O
dan	O
perkembangan	O
harta	O
,	O
pelaksanaan	B-PZA
zakat	I-PZA
itu	O
mengakibatkan	O
pahala	O
menjadi	O
banyak	O
.	O
Sedangkan	O
makna	O
suci	O
menunjukkan	O
bahwa	O
zakat	O
adalah	O
mensucikan	O
jiwa	O
dari	O
kejelekan	O
,	O
kebatilan	O
dan	O
pensuci	O
dari	O
dosa-dosa	O
.	O
Dalam	O
Al-Quran	O
disebutkan	O
,	O
``	O
Ambillah	O
zakat	O
dari	O
sebagian	O
harta	O
mereka	O
,	O
dengan	O
zakat	O
itu	O
kamu	O
membersihkan	O
dan	O
menyucikan	O
mereka	O
''	O
(	O
QS	O
.	O
at-Taubah	O
-LSB-	O
9	O
-RSB-	O
:	O
103	O
)	O
.	O
Menurut	O
istilah	O
dalam	O
kitab	O
al-Hâwî	O
,	O
al-Mawardi	B-PER
mendefinisikan	O
zakat	O
dengan	O
nama	O
pengambilan	O
tertentu	O
dari	O
harta	O
tertentu	O
,	O
menurut	O
sifat-sifat	O
tertentu	O
dan	O
untuk	O
diberikan	O
kepada	O
golongan	O
tertentu	O
.	O
Orang	O
yang	O
menunaikan	O
zakat	O
disebut	O
Muzaki	O
.	O
Sedangkan	O
orang	O
yang	O
menerima	O
zakat	O
disebut	O
Mustahik	O
.	O
Asnaf	O
(	O
8	O
Golongan	O
)	O
Penerima	O
Zakat	O
Sebagai	O
instrumen	O
yang	O
masuk	O
dalam	O
salah	O
satu	O
Rukun	O
Islam	O
,	O
zakat	O
tentu	O
saja	O
memiliki	O
aturan	O
mengikat	O
dari	O
segi	O
ilmu	O
fiqihnya	O
,	O
salah	O
satu	O
diantaranya	O
adalah	O
kepada	O
siapa	O
zakat	O
diberikan	O
.	O
Dalam	O
QS	O
.	O
At-Taubah	O
ayat	O
60	O
,	O
Allah	O
memberikan	O
ketentuan	O
ada	O
delapan	O
golongan	O
orang	O
yang	O
menerima	O
zakat	O
yaitu	O
sebagai	O
berikut	O
:	O
1	O
.	O
Fakir	B-MUS
,	O
mereka	O
yang	O
hampir	O
tidak	O
memiliki	O
apa-apa	O
sehingga	O
tidak	O
mampu	O
memenuhi	O
kebutuhan	O
pokok	O
hidup	O
.	O
2	O
.	O
Miskin	B-MUS
,	O
mereka	O
yang	O
memiliki	O
harta	O
namun	O
tidak	O
cukup	O
untuk	O
memenuhi	O
kebutuhan	O
dasar	O
kehidupan	O
.	O
3	O
.	O
Amil	B-MUS
,	O
mereka	O
yang	O
mengumpulkan	O
dan	O
mendistribusikan	O
zakat	O
.	O
4	O
.	O
Mu'allaf	B-MUS
,	O
mereka	O
yang	O
baru	O
masuk	O
Islam	O
dan	O
membutuhkan	O
bantuan	O
untuk	O
menguatkan	O
dalam	O
tauhid	O
dan	O
syariah	O
.	O
5	O
